,Sheep,Pig,Cow,Goat
Gestating,"5,890","11,091","14,814","18,773"
Lactating,"11,237","3,943","15,929","35,816"
Maintenance,"1,738",0,"1,817","6,578"
Adult Males,559,0,941,"1,861"
Offspring,"2,715","24,414","32,390","8,654"
TOTAL,"22,138.2","39,447.3","65,891.1","71,682.0"
